id,NameLatNom,rus,NameLatGen,Type,VrdG,VsdG,GttsPerMl,Density,E_Factor,KUO,KV,Solubility,Storage,InteractionNotes,ointment_entry_type,ointment_solvent_inn_key,ointment_ratio_solute_to_solvent,ointment_note,PedsVrdG,PedsRdG,VrdChild_0_1,VrdChild_1_6,VrdChild_7_14,NeedsTrituration,ByComposition,PharmActivity,ByNature,PhysicalState,IsListA_Poison,NaturalGroup,IsNarcotic,List_A,List_B,HerbalPart,PrepMethod,HerbalRatio,WaterTempC,HeatBathMin,StandMin,CoolMin,Strain,PressMarc,BringToVolume,ShelfLifeHours,StoragePrepared,NotesHerbal,IsHerbalMix,MixComponents,MixUse,ExtractionSolvent,TinctureRatio,MacerationDays,ShakeDaily,Filter,StorageTincture,ExtractType,ExtractSolvent,ExtractRatio,ExtractStd,IsOintmentFitocomp,OintmentBase,OintmentStrength,UseRoute,Process,BufferType,BufferPH,BufferMolarity,BufferComponents,SolventType,Sterile,NotesSolvent,BaseType,NotesBase,dissolution_type
1,Acetazolamide,Ацетазоламид,Acetazolamidi,Act,0.5,1.0,,,,,,,,,,,,,0.25,0.5,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Acetic acid,Уксусная кислота,Acidi acetici,Aux,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Acetylsalicylic acid,Ацетилсалициловая кислота,Acidiacetyl salicylici,Act,1.0,3.0,20,0.6,0.18,0.72,,1:300,DryPlace,HydrolysisRisk,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Анальгезирующее,Твердые,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Acidum benzoicum,Кислота бензойная,Acidi benzoici,Aux,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Acidum boricum,Кислота борная,Acidi borici,Act,2.0,6.0,,0.5,,0.24,45.0,"Розчинний у воді, легко розчинний у киплячій воді",У добре закупореній тарі,Несумісна з лугами,suspension,oleum vaselini,,Несумісна з лугами,1.0,3.0,0.25,0.5,1.0,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,Heat_Water_80C,,,,,,,,,,
6,Acidum citricum,Кислота лимонная,Acidi citrici,Aux,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Acidum hydrochloricum,Соляная кислота,Acidi hydrochlorici,Liquid_Standard,,,20,1.048,0.12,1.0,,1:1,LightProtected,IncompatibleWithAlkalies,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,Жидкие,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Acidum lacticum,Кислота молочная,Acidi lactici,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Acidum nicotinicum,Никотиновая кислота,Acidi nicotinici,Act,0.1,0.5,,,0.25,0.7,,Погано розчинний у воді,,,emulsion,aqua purificata,,Вітамін РР,0.05,0.25,0.0125,0.025,0.05,NO,Лекарственное вещество,Ядовитые,Природные,Твердые,YES,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Acidum salicylicum,Кислота салициловая,Acidi salicylici,Act,1.0,2.0,,,0.2,,,"Малорозчинна у воді, легко розчинна у спирті 70%",сухе місце,,suspension,oleum vaselini,,Розтирати з 0.5 ч. олії,0.5,1.0,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
